name	phase	status	tier	method	planned_tokens	planned_tpp	launch_ready	dependency	selection_notes	config	reporting_note
y400_mai_124m_muon_20tpp_baseline	registered_dense_baseline_20tpp	BLOCKED_ON_5TPP_BASELINE_CONFIRMATION	124m	baseline	2487475200	20.000000	false	accepted stable 124m 5TPP dense baseline confirmation	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_muon_20tpp_baseline.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_muon_20tpp_baseline	registered_dense_baseline_20tpp	BLOCKED_ON_5TPP_BASELINE_CONFIRMATION	350m	baseline	7091998720	20.000000	false	accepted stable 350m 5TPP dense baseline confirmation	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_muon_20tpp_baseline.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_muon_20tpp_baseline	registered_dense_baseline_20tpp	BLOCKED_ON_5TPP_BASELINE_CONFIRMATION	690m	baseline	13898572800	20.000000	false	accepted stable 690m 5TPP dense baseline confirmation	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_muon_20tpp_baseline.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_muon_20tpp_baseline	registered_dense_baseline_20tpp	BLOCKED_ON_5TPP_BASELINE_CONFIRMATION	985m	baseline	19698186240	20.000000	false	accepted stable 985m 5TPP dense baseline confirmation	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_muon_20tpp_baseline.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_fullattn_blockfht_0p5tpp_mult0p50	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	124m	block_fht	62186880	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_fullattn_blockfht_0p5tpp_mult0p50.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_fullattn_blockfht_0p5tpp_mult0p75	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	124m	block_fht	62186880	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_fullattn_blockfht_0p5tpp_mult0p75.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_fullattn_blockfht_0p5tpp_mult1p00	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	124m	block_fht	62186880	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_fullattn_blockfht_0p5tpp_mult1p00.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_fullattn_blockfht_5tpp	full_attention_blockfht_recipe_confirmation_5tpp	BLOCKED_ON_DENSE_SCALING_FIT	124m	block_fht	621868800	5.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_fullattn_blockfht_5tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_fullattn_blockfht_20tpp	registered_full_attention_blockfht_20tpp	BLOCKED_ON_DENSE_SCALING_FIT	124m	block_fht	2487475200	20.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_fullattn_blockfht_20tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_fullattn_blockfht_0p5tpp_mult0p50	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	350m	block_fht	177299968	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_fullattn_blockfht_0p5tpp_mult0p50.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_fullattn_blockfht_0p5tpp_mult0p75	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	350m	block_fht	177299968	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_fullattn_blockfht_0p5tpp_mult0p75.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_fullattn_blockfht_0p5tpp_mult1p00	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	350m	block_fht	177299968	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_fullattn_blockfht_0p5tpp_mult1p00.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_fullattn_blockfht_5tpp	full_attention_blockfht_recipe_confirmation_5tpp	BLOCKED_ON_DENSE_SCALING_FIT	350m	block_fht	1772999680	5.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_fullattn_blockfht_5tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_fullattn_blockfht_20tpp	registered_full_attention_blockfht_20tpp	BLOCKED_ON_DENSE_SCALING_FIT	350m	block_fht	7091998720	20.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_fullattn_blockfht_20tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_fullattn_blockfht_0p5tpp_mult0p50	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	690m	block_fht	347464320	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_fullattn_blockfht_0p5tpp_mult0p50.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_fullattn_blockfht_0p5tpp_mult0p75	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	690m	block_fht	347464320	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_fullattn_blockfht_0p5tpp_mult0p75.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_fullattn_blockfht_0p5tpp_mult1p00	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	690m	block_fht	347464320	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_fullattn_blockfht_0p5tpp_mult1p00.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_fullattn_blockfht_5tpp	full_attention_blockfht_recipe_confirmation_5tpp	BLOCKED_ON_DENSE_SCALING_FIT	690m	block_fht	3474643200	5.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_fullattn_blockfht_5tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_fullattn_blockfht_20tpp	registered_full_attention_blockfht_20tpp	BLOCKED_ON_DENSE_SCALING_FIT	690m	block_fht	13898572800	20.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_fullattn_blockfht_20tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_fullattn_blockfht_0p5tpp_mult0p50	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	985m	block_fht	492454656	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_fullattn_blockfht_0p5tpp_mult0p50.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_fullattn_blockfht_0p5tpp_mult0p75	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	985m	block_fht	492454656	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_fullattn_blockfht_0p5tpp_mult0p75.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_fullattn_blockfht_0p5tpp_mult1p00	full_attention_blockfht_lr_screen_0p5tpp	BLOCKED_ON_DENSE_SCALING_FIT	985m	block_fht	492454656	0.500000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_fullattn_blockfht_0p5tpp_mult1p00.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_fullattn_blockfht_5tpp	full_attention_blockfht_recipe_confirmation_5tpp	BLOCKED_ON_DENSE_SCALING_FIT	985m	block_fht	4924546560	5.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_fullattn_blockfht_5tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_fullattn_blockfht_20tpp	registered_full_attention_blockfht_20tpp	BLOCKED_ON_DENSE_SCALING_FIT	985m	block_fht	19698186240	20.000000	false	accepted immutable four-rung dense scaling-fit artifact pinned by SHA-256	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_fullattn_blockfht_20tpp.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
